timestamp,city,aqi,pm25,pm10,temp,humidity,wind_speed,pressure,rain_1h,hour,is_night,pm25_lag_1,temp_rolling_6h,wind_calms
2025-11-13 18:00:00,mumbai,118,,,32,29,3.09,1013,0,18,0,,32.0,0
2025-11-13 18:00:00,mumbai,118,,,25,60,3.5,1013,0,18,0,,28.5,0
2025-11-13 18:00:00,mumbai,200,,,32,29,3.09,1013,0,18,0,,29.666666666666668,0
2025-11-13 18:00:00,mumbai,200,,,25,60,3.5,1013,0,18,0,,28.5,0
2025-11-12 18:00:00,mumbai,210,,,26,61,3.7,1013,0,18,0,,28.0,0
2025-11-11 18:00:00,mumbai,220,,,27,62,3.9,1013,0,18,0,,27.833333333333332,0
2025-11-10 18:00:00,mumbai,230,,,25,63,4.1,1013,0,18,0,,26.666666666666668,0
2025-11-09 18:00:00,mumbai,240,,,26,64,4.3,1013,0,18,0,,26.833333333333332,0
2025-11-08 18:00:00,mumbai,250,,,27,65,4.5,1013,0,18,0,,26.0,0
2025-11-07 18:00:00,mumbai,260,,,25,66,4.7,1013,0,18,0,,26.0,0
