timestamp,city,aqi,pm25,pm10,temp,humidity,wind_speed,pressure,rain_1h,hour,is_night,pm25_lag_1,temp_rolling_6h,wind_calms
2025-11-13 18:00:00,kolkata,153,,,24.96,53,2.57,1014,0,18,0,,24.96,0
2025-11-13 18:00:00,kolkata,153,,,25.0,60,3.5,1013,0,18,0,,24.98,0
2025-11-13 18:00:00,kolkata,200,,,24.96,53,2.57,1014,0,18,0,,24.973333333333333,0
2025-11-13 18:00:00,kolkata,200,,,25.0,60,3.5,1013,0,18,0,,24.98,0
2025-11-12 18:00:00,kolkata,210,,,26.0,61,3.7,1013,0,18,0,,25.184,0
2025-11-11 18:00:00,kolkata,220,,,27.0,62,3.9,1013,0,18,0,,25.486666666666668,0
2025-11-10 18:00:00,kolkata,230,,,25.0,63,4.1,1013,0,18,0,,25.49333333333333,0
2025-11-09 18:00:00,kolkata,240,,,26.0,64,4.3,1013,0,18,0,,25.659999999999997,0
2025-11-08 18:00:00,kolkata,250,,,27.0,65,4.5,1013,0,18,0,,26.0,0
2025-11-07 18:00:00,kolkata,260,,,25.0,66,4.7,1013,0,18,0,,26.0,0
