timestamp,city,aqi,pm25,pm10,temp,humidity,wind_speed,pressure,rain_1h,hour,is_night,pm25_lag_1,temp_rolling_6h,wind_calms
2025-11-13 18:00:00,bhopal,162,,,23.18,27,0.0,1016,0,18,0,,23.18,1
2025-11-13 18:00:00,bhopal,162,,,25.0,60,3.5,1013,0,18,0,,24.09,0
2025-11-13 18:00:00,bhopal,200,,,23.18,27,0.0,1016,0,18,0,,23.786666666666665,1
2025-11-13 18:00:00,bhopal,200,,,25.0,60,3.5,1013,0,18,0,,24.09,0
2025-11-12 18:00:00,bhopal,210,,,26.0,61,3.7,1013,0,18,0,,24.472,0
2025-11-11 18:00:00,bhopal,220,,,27.0,62,3.9,1013,0,18,0,,24.893333333333334,0
2025-11-10 18:00:00,bhopal,230,,,25.0,63,4.1,1013,0,18,0,,25.19666666666667,0
2025-11-09 18:00:00,bhopal,240,,,26.0,64,4.3,1013,0,18,0,,25.363333333333333,0
2025-11-08 18:00:00,bhopal,250,,,27.0,65,4.5,1013,0,18,0,,26.0,0
2025-11-07 18:00:00,bhopal,260,,,25.0,66,4.7,1013,0,18,0,,26.0,0
